mHiggsino,XSect,SR-HH,SR-ZH,SR-ZZ,eff_HH,eff_ZH,eff_ZZ
150,4.292003,10814.758416,3541.2219,9814.8996756,0.01159303537502086,0.014215353924677302,0.16832627220498875
200,1.528001,6549.80256,3475.148736,7520.233068,0.019721726223545896,0.03918450014195793,0.3622711249374486
250,0.668,4281.457824,2437.050372,4256.1857808,0.029488695652173914,0.06285684749980941,0.4689971154831262
300,0.3341,2649.0548448,1592.2367409,2443.38108066,0.036480000000000005,0.08210993679906861,0.5383203389772406
350,0.1833,1678.6951272,1032.1210575,1447.24848606,0.042135652173913046,0.09701362354160396,0.581174695319057
400,0.1073,1108.0016892,681.9026592,905.546547,0.04750956521739131,0.1094932166573414,0.6212081066355715
450,0.06557,710.99570556,443.01393507,574.240277646,0.04988869565217392,0.11640637255598732,0.6446359550371901
500,0.04164,499.20730272,296.16183504,377.752608504,0.05515826086956522,0.12254142432751292,0.6677637029042018
550,0.02733,343.0838754,202.34238309,254.749628583,0.05775652173913044,0.12755919837804525,0.6861198522709696
600,0.01838,228.98031912,137.99507334,174.931368786,0.05731826086956522,0.12935482328678444,0.7005646913366985
650,0.01263,160.35381432,96.22874043,122.224338153,0.058413913043478254,0.1312701565227729,0.7123286322932756
700,0.008823,113.86010916,68.050554957,86.5483176717,0.05937391304347826,0.1328862189406382,0.7220518896145282
750,0.006272,79.460269056,48.738200448,62.3598611328,0.05828869565217392,0.1338837883343822,0.7318551737450087
800,0.004505,56.46102084,34.2743103,45.3264110325,0.05766260869565218,0.13108061833796153,0.740598102653213
850,0.00328,39.1665456,24.64298112,33.240618144,0.05493913043478261,0.1294446045322214,0.7459699022226706
900,0.00241,28.22033844,17.68656825,24.669386118,0.053874782608695666,0.12644192065705195,0.7534724155878345
950,0.001784,20.238652224,13.21641612,18.3814980552,0.05219478260869565,0.12763900392954475,0.7584240744088426
1000,0.001332,14.839034112,9.52080966,13.783676526,0.05125565217391304,0.12314994165769674,0.7617051735872077
