Unnamed: 0,mHiggsino,XSect,SR-WZ,SR-WH,eff_WZ,eff_WH
0,150,2.768,977.812608,275.103216,0.00819969188344427,0.00026998899800334135
1,200,0.987,1279.4255964,508.64058,0.030088869362541223,0.001399942952609918
2,250,0.432,1108.4449536,729.898128,0.05955776202170008,0.0045898129660568035
3,300,0.2165,883.249854,687.7561995,0.0946964416295332,0.00862964834358828
4,350,0.119,647.735802,680.712606,0.12634525237477848,0.015539366773970094
5,400,0.0699,462.56456412,565.0349724,0.1536042280751066,0.02195910517093843
6,450,0.04277,324.046032492,474.35578281,0.17586339165138334,0.030128772258669164
7,500,0.02722,230.352930144,372.63197358,0.19643261872973078,0.03718848457683062
8,550,0.0179,164.53643484,295.9774308,0.21336198258176872,0.04491816959374109
9,600,0.01206,117.2872386,228.13490754,0.22574151740091994,0.05138790595330264
10,650,0.00831,85.195602504,174.81676365,0.23797105785634964,0.05714767124404059
11,700,0.005813,61.9524032556,130.696864524,0.24738070427381434,0.061077511103867
12,750,0.004132,45.6747032304,97.175999988,0.2565803585820689,0.06388739660160549
13,800,0.002974,33.8134092864,73.489184622,0.2639100831559283,0.06712726457764558
14,850,0.002169,25.2186619428,54.307773378,0.26987985883204557,0.06801722831180473
15,900,0.001595,18.928947048,40.928100345,0.2754696487867351,0.06970715944745527
16,950,0.001182,14.2287320808,30.769861824,0.27941950036473556,0.07071711829183815
17,1000,0.000883,10.7773908048,23.282063649,0.28330935419724756,0.0716270812110346
