mass,C1pm,C1pmErr,N1C1p,N1C1pErr,N1C1m,N1C1mErr,N1N2,N1N2Err
100,3.2624534,0.0045572018,3.781267,0.0053540522,2.3592588,0.0032186188,3.6156333,0.0051009311
150,0.77920647,0.00098522827,0.89585667,0.0011359329,0.5170579,0.00063008586,0.79171587,0.00099138484
200,0.27692695,0.00032682978,0.32221893,0.00037993529,0.17437397,0.00019798361,0.27183122,0.00031616641
250,0.12108408,0.00013569586,0.14326042,0.00015928309,0.073288632,7.880013E-05,0.11664112,0.00012842866
300,0.060292601,6.1265464E-05,0.07258826,7.3109336E-05,0.035319248,3.4085021E-05,0.057376215,5.6893306E-05
350,0.03278636,3.2358849E-05,0.040161689,3.9118915E-05,0.018670674,1.7519765E-05,0.030927314,2.9742349E-05
400,0.019015411,1.7996224E-05,0.023688326,2.2421186E-05,0.010557041,9.5289977E-06,0.017818027,1.6437311E-05
450,0.01158638,1.0879949E-05,0.014660696,1.3766197E-05,0.0062860783,5.5680547E-06,0.010799107,9.9008104E-06
500,0.0073374149,6.7620591E-06,0.0094241578,8.6483401E-06,0.0038981461,3.4103842E-06,0.00680691,6.1179122E-06
550,0.0047920779,4.3948498E-06,0.0062408335,5.6210738E-06,0.002497508,2.1474734E-06,0.0044271968,3.9604888E-06
600,0.0032115684,2.8915133E-06,0.0042371902,3.8364868E-06,0.0016439996,1.416892E-06,0.0029562557,2.5972617E-06
650,0.0021990973,1.9549898E-06,0.0029361827,2.6230927E-06,0.0011063531,9.5011376E-07,0.0020174798,1.7967908E-06
700,0.0015334307,1.3734057E-06,0.0020696734,1.8251877E-06,0.00075955133,6.5174239E-07,0.0014021265,1.2337284E-06
750,0.001085957,9.6905253E-07,0.0014800916,1.2967263E-06,0.00052982365,4.714729E-07,0.00098989118,8.675028E-07
800,0.00077844594,6.7549372E-07,0.0010703839,9.2362898E-07,0.00037486044,3.128013E-07,0.00070719776,6.0118907E-07
850,0.00056529504,4.8390303E-07,0.0007832559,6.7101298E-07,0.00026876013,2.2128198E-07,0.00051192074,4.2992378E-07
900,0.00041488873,3.4780466E-07,0.00057832871,4.922835E-07,0.00019485473,1.587383E-07,0.00037442168,3.1153826E-07
950,0.00030726917,2.5769308E-07,0.00043152985,3.755887E-07,0.00014238011,1.2213537E-07,0.00027661372,2.3555566E-07
1000,0.00022935569,1.9171826E-07,0.00032357289,2.7707171E-07,0.00010516239,8.6554057E-08,0.00020580547,1.7359246E-07
